term,estimate,std_error,ci_low,ci_high,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fit_method
Intercept,-7.1348799051037375,0.2669805543842654,-7.658161791696898,-6.611598018510577,0.0007968214713323183,0.00047217456875590696,0.001344681605468735,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.llava15_7b]",1.0661603731606424,0.2871720094042494,0.5033032347283135,1.6290175115929713,2.904206993456027,1.6541763888664722,5.098862683331248,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.internvl2_8b]",-2.222051100663909,1.1594079960241768,-4.494490772871296,0.05038857154347731,0.10838656891363949,0.01117036742118487,1.051679669783415,BinomialBayesMixedGLM.fit_vb
"C(condition_name, Treatment(reference='C0_neutral'))[T.C1_weak_suggestion]",-0.9203599513888897,0.8775523462531799,-2.6403625500451224,0.7996426472673429,0.3983756194161397,0.07133540221427476,2.224745767444979,BinomialBayesMixedGLM.fit_vb
"C(condition_name, Treatment(reference='C0_neutral'))[T.C2_false_assertion_open]",-0.9203592213140088,0.8775524416939068,-2.6403620070340663,0.7996435644060484,0.39837591026027874,0.07133544095019738,2.2247478078463683,BinomialBayesMixedGLM.fit_vb
"C(condition_name, Treatment(reference='C0_neutral'))[T.C3_presupposition_correction_allowed]",0.3543226972454771,0.34770492212525245,-0.3271789501200177,1.0358243446109718,1.4252150252444056,0.7209547165492457,2.817427810035924,BinomialBayesMixedGLM.fit_vb
"C(condition_name, Treatment(reference='C0_neutral'))[T.C4_stronger_open_conflict]",-0.3322476593650712,0.6087663227106462,-1.5254296518779378,0.8609343331477954,0.7173096524014024,0.21752757565309916,2.365369704890977,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.llava15_7b]:C(condition_name, Treatment(reference='C0_neutral'))[T.C1_weak_suggestion]",0.2500269529609371,0.9863410719873856,-1.6832015481343388,2.183255454056213,1.2840600254410417,0.18577824492390155,8.875151929716175,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.internvl2_8b]:C(condition_name, Treatment(reference='C0_neutral'))[T.C1_weak_suggestion]",-0.3952904658055195,1.72382334010066,-3.773984212402813,2.983403280791774,0.6734843866501752,0.022960401691651734,19.754933957731325,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.llava15_7b]:C(condition_name, Treatment(reference='C0_neutral'))[T.C2_false_assertion_open]",0.2500261928751472,0.9863410707124042,-1.683202305721165,2.1832546914714595,1.284059049445634,0.1857781041808039,8.875145161663209,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.internvl2_8b]:C(condition_name, Treatment(reference='C0_neutral'))[T.C2_false_assertion_open]",-0.39529233551635184,1.7238232090976982,-3.7739858253478404,2.9834011543151364,0.6734831274302993,0.022960364657815868,19.754891949370453,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.llava15_7b]:C(condition_name, Treatment(reference='C0_neutral'))[T.C3_presupposition_correction_allowed]",2.9636327542459204,0.3610066897305915,2.256059642373961,3.6712058661178797,19.368204035404354,9.545402666191425,39.29926695347339,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.internvl2_8b]:C(condition_name, Treatment(reference='C0_neutral'))[T.C3_presupposition_correction_allowed]",-0.6520907544227217,1.5947201733968837,-3.777742294280614,2.47356078543517,0.5209554474469831,0.022874276556166126,11.864619086784954,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.llava15_7b]:C(condition_name, Treatment(reference='C0_neutral'))[T.C4_stronger_open_conflict]",1.3000578147142319,0.6564678687070874,0.01338079204834064,2.5867348373801233,3.66950881309002,1.0134707154808797,13.28631871021178,BinomialBayesMixedGLM.fit_vb
"C(model_key, Treatment(reference='qwen2vl7b'))[T.internvl2_8b]:C(condition_name, Treatment(reference='C0_neutral'))[T.C4_stronger_open_conflict]",-0.4924016474904928,1.6707089670046444,-3.766991222819596,2.7821879278386104,0.6111568469158197,0.02312152625610071,16.154326811947968,BinomialBayesMixedGLM.fit_vb
