model,condition,source_dataset,n,conflict_aligned,faithful,conflict_aligned_n,conflict_aligned_rate,faithful_n,faithful_rate,fisher_p_conflict_aligned
Qwen2-VL-7B-Instruct,C0,StanfordCars,93,"0/93 (0.00% [0.00%, 3.97%])","93/93 (100.00% [96.03%, 100.00%])",0,0.0,93,1.0,
Qwen2-VL-7B-Instruct,C0,VCoR,207,"0/207 (0.00% [0.00%, 1.82%])","207/207 (100.00% [98.18%, 100.00%])",0,0.0,207,1.0,
Qwen2-VL-7B-Instruct,C3,StanfordCars,93,"0/93 (0.00% [0.00%, 3.97%])","93/93 (100.00% [96.03%, 100.00%])",0,0.0,93,1.0,1.0
Qwen2-VL-7B-Instruct,C3,VCoR,207,"1/207 (0.48% [0.09%, 2.69%])","206/207 (99.52% [97.31%, 99.91%])",1,0.004830917874396135,206,0.9951690821256038,1.0
LLaVA-1.5-7B,C0,StanfordCars,93,"0/93 (0.00% [0.00%, 3.97%])","93/93 (100.00% [96.03%, 100.00%])",0,0.0,93,1.0,
LLaVA-1.5-7B,C0,VCoR,207,"0/207 (0.00% [0.00%, 1.82%])","207/207 (100.00% [98.18%, 100.00%])",0,0.0,207,1.0,
LLaVA-1.5-7B,C3,StanfordCars,93,"13/93 (13.98% [8.35%, 22.46%])","80/93 (86.02% [77.54%, 91.65%])",13,0.13978494623655913,80,0.8602150537634409,0.051010643971441755
LLaVA-1.5-7B,C3,VCoR,207,"14/207 (6.76% [4.07%, 11.03%])","193/207 (93.24% [88.97%, 95.93%])",14,0.06763285024154589,193,0.9323671497584541,0.051010643971441755
InternVL2-8B,C0,StanfordCars,93,"0/93 (0.00% [0.00%, 3.97%])","93/93 (100.00% [96.03%, 100.00%])",0,0.0,93,1.0,
InternVL2-8B,C0,VCoR,207,"0/207 (0.00% [0.00%, 1.82%])","207/207 (100.00% [98.18%, 100.00%])",0,0.0,207,1.0,
InternVL2-8B,C3,StanfordCars,93,"0/93 (0.00% [0.00%, 3.97%])","93/93 (100.00% [96.03%, 100.00%])",0,0.0,93,1.0,1.0
InternVL2-8B,C3,VCoR,207,"0/207 (0.00% [0.00%, 1.82%])","207/207 (100.00% [98.18%, 100.00%])",0,0.0,207,1.0,1.0
